timestamp,symbol,direction,signal,score,confidence,quality,trend_long,trend_short,structure_long,structure_short,momentum_long,momentum_short,risk_long,risk_short,long_total,short_total,summary
2026-06-25T09:02:05.452727+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:02:06.792336+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:02:08.275675+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:02:39.186404+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:02:40.396892+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:02:41.217695+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:03:12.075520+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:03:12.984161+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:03:13.928239+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:03:44.928668+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:03:45.674489+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:03:48.081150+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:09:00.076921+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:09:01.020532+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:09:02.021569+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:09:33.271017+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:09:34.711625+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:09:35.438471+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:10:06.273089+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:10:07.100167+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:10:07.920541+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:10:39.052021+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:10:39.979195+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:10:41.014384+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:11:11.947183+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:11:12.706529+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:11:13.433360+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:11:44.306095+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:11:45.126200+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:11:45.951899+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:12:16.939817+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:12:17.868048+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:12:18.699115+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:12:49.604636+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:12:51.537846+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:12:52.844665+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:13:24.183832+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:13:25.449457+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:13:26.642480+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:13:58.024530+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:13:59.276637+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:14:00.150638+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:14:31.384703+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:14:32.531378+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:14:33.920042+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:15:05.006716+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:15:06.314771+00:00,ETH/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
2026-06-25T09:15:07.303719+00:00,SOL/USDT,SHORT,NO TRADE,27,71.1,E,14,46,9,16,14,11,0,15,11,27,SHORT wins by 16 points
2026-06-25T09:15:38.834465+00:00,BTC/USDT,SHORT,NO TRADE,28,71.8,E,14,46,9,16,14,11,5,20,11,28,SHORT wins by 17 points
