timestamp,status,confidence,closed_trades,baseline_winrate,candidate_winrate,baseline_pf,candidate_pf,summary
2026-07-02T12:20:23.624123+00:00,NOT_ENOUGH_DATA,LOW,19,18.75,20.0,0.37,0.46,Safe Auto-Learning v1 никогда не применяет веса автоматически.; Недостаточно закрытых сделок: 19 < 30.; Улучшение PF слишком маленькое: 0.09 < 0.10.
2026-07-02T12:22:09.490928+00:00,NOT_ENOUGH_DATA,LOW,19,18.75,20.0,0.37,0.46,Safe Auto-Learning v1 никогда не применяет веса автоматически.; Недостаточно закрытых сделок: 19 < 30.; Улучшение PF слишком маленькое: 0.09 < 0.10.
2026-07-02T14:49:46.680082+00:00,NOT_ENOUGH_DATA,LOW,19,18.75,20.0,0.37,0.46,Safe Auto-Learning v1 никогда не применяет веса автоматически.; Недостаточно закрытых сделок: 19 < 30.; Улучшение PF слишком маленькое: 0.09 < 0.10.
