timestamp,symbol,direction,confidence,weighted_score,long_score,short_score,diff,reason,near_setup_category
2026-06-28T21:59:27.578279+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T21:59:31.738994+00:00,SOL/USDT,LONG,62.0,19.0,19.0,15.0,4.0,No clear directional edge.,FAR
2026-06-28T22:04:35.977602+00:00,SOL/USDT,LONG,74.0,18.0,18.0,10.0,8.0,No clear directional edge.,FAR
2026-06-28T22:19:48.026877+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T22:19:50.236065+00:00,SOL/USDT,LONG,62.0,19.0,19.0,15.0,4.0,No clear directional edge.,FAR
2026-06-28T22:29:59.419422+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T22:35:05.086168+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T22:40:09.792704+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T22:45:15.041304+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T22:45:17.338195+00:00,SOL/USDT,LONG,62.0,19.0,19.0,15.0,4.0,No clear directional edge.,FAR
2026-06-28T22:50:21.381403+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T22:50:22.797517+00:00,SOL/USDT,LONG,62.0,19.0,19.0,15.0,4.0,No clear directional edge.,FAR
2026-06-28T22:55:26.792357+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T22:55:28.045809+00:00,ETH/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T22:55:28.757087+00:00,SOL/USDT,LONG,62.0,19.0,19.0,15.0,4.0,No clear directional edge.,FAR
2026-06-28T23:00:32.375207+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T23:00:33.188546+00:00,ETH/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T23:00:33.888863+00:00,SOL/USDT,LONG,62.0,19.0,19.0,15.0,4.0,No clear directional edge.,FAR
2026-06-28T23:05:37.409165+00:00,BTC/USDT,SHORT,92.0,26.0,12.0,26.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-28T23:36:13.271341+00:00,SOL/USDT,LONG,74.0,18.0,18.0,10.0,8.0,No clear directional edge.,FAR
2026-06-28T23:41:18.223341+00:00,SOL/USDT,LONG,62.0,18.0,18.0,14.0,4.0,No clear directional edge.,FAR
2026-06-28T23:46:23.050421+00:00,SOL/USDT,LONG,62.0,18.0,18.0,14.0,4.0,No clear directional edge.,FAR
2026-06-28T23:51:28.088058+00:00,SOL/USDT,LONG,62.0,18.0,18.0,14.0,4.0,No clear directional edge.,FAR
2026-06-28T23:56:33.677785+00:00,SOL/USDT,LONG,74.0,18.0,18.0,10.0,8.0,No clear directional edge.,FAR
2026-06-29T00:57:46.133605+00:00,SOL/USDT,LONG,62.0,18.0,18.0,14.0,4.0,No clear directional edge.,FAR
2026-06-29T01:07:56.903154+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T01:43:35.270930+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T01:48:39.955299+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T01:53:45.232715+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T01:58:50.392461+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T02:03:56.000274+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T02:29:22.604762+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T02:34:27.722971+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T02:39:32.966304+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T02:44:37.998544+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T02:49:43.267602+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T02:54:47.859871+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T02:59:52.794125+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T03:04:57.711133+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
