timestamp,symbol,direction,weighted_score,final_score,confidence,diff,status,entry_time,entry_close_time,entry_price,1h_status,1h_future_time,1h_future_close_time,1h_close,1h_return_pct,1h_favorable,2h_status,2h_future_time,2h_future_close_time,2h_close,2h_return_pct,2h_favorable,4h_status,4h_future_time,4h_future_close_time,4h_close,4h_return_pct,4h_favorable,8h_status,8h_future_time,8h_future_close_time,8h_close,8h_return_pct,8h_favorable
2026-06-28T17:16:55.780604+00:00,SOL/USDT,LONG,21.0,0.0,77.0,9.0,OK,2026-06-28T16:00:00+00:00,2026-06-28T17:00:00+00:00,71.57,OK,2026-06-28T18:00:00+00:00,2026-06-28T19:00:00+00:00,71.17,-0.5589,False,OK,2026-06-28T19:00:00+00:00,2026-06-28T20:00:00+00:00,70.71,-1.2016,False,OK,2026-06-28T21:00:00+00:00,2026-06-28T22:00:00+00:00,70.46,-1.5509,False,OK,2026-06-29T01:00:00+00:00,2026-06-29T02:00:00+00:00,71.5,-0.0978,False
2026-06-28T17:20:16.096715+00:00,SOL/USDT,LONG,20.0,0.0,86.0,12.0,OK,2026-06-28T16:00:00+00:00,2026-06-28T17:00:00+00:00,71.57,OK,2026-06-28T18:00:00+00:00,2026-06-28T19:00:00+00:00,71.17,-0.5589,False,OK,2026-06-28T19:00:00+00:00,2026-06-28T20:00:00+00:00,70.71,-1.2016,False,OK,2026-06-28T21:00:00+00:00,2026-06-28T22:00:00+00:00,70.46,-1.5509,False,OK,2026-06-29T01:00:00+00:00,2026-06-29T02:00:00+00:00,71.5,-0.0978,False
2026-06-28T18:01:08.065795+00:00,BTC/USDT,SHORT,26.0,0.0,92.0,14.0,OK,2026-06-28T17:00:00+00:00,2026-06-28T18:00:00+00:00,59580.5,OK,2026-06-28T19:00:00+00:00,2026-06-28T20:00:00+00:00,59480.2,0.1683,True,OK,2026-06-28T20:00:00+00:00,2026-06-28T21:00:00+00:00,59653.6,-0.1227,False,OK,2026-06-28T22:00:00+00:00,2026-06-28T23:00:00+00:00,59067.2,0.8615,True,OK,2026-06-29T02:00:00+00:00,2026-06-29T03:00:00+00:00,59752.1,-0.288,False
2026-06-28T18:01:09.995024+00:00,SOL/USDT,LONG,20.0,0.0,86.0,12.0,OK,2026-06-28T17:00:00+00:00,2026-06-28T18:00:00+00:00,71.56,OK,2026-06-28T19:00:00+00:00,2026-06-28T20:00:00+00:00,70.71,-1.1878,False,OK,2026-06-28T20:00:00+00:00,2026-06-28T21:00:00+00:00,70.9,-0.9223,False,OK,2026-06-28T22:00:00+00:00,2026-06-28T23:00:00+00:00,70.25,-1.8306,False,OK,2026-06-29T02:00:00+00:00,2026-06-29T03:00:00+00:00,72.21,0.9083,True
2026-06-28T18:06:14.421542+00:00,SOL/USDT,LONG,20.0,0.0,86.0,12.0,OK,2026-06-28T17:00:00+00:00,2026-06-28T18:00:00+00:00,71.56,OK,2026-06-28T19:00:00+00:00,2026-06-28T20:00:00+00:00,70.71,-1.1878,False,OK,2026-06-28T20:00:00+00:00,2026-06-28T21:00:00+00:00,70.9,-0.9223,False,OK,2026-06-28T22:00:00+00:00,2026-06-28T23:00:00+00:00,70.25,-1.8306,False,OK,2026-06-29T02:00:00+00:00,2026-06-29T03:00:00+00:00,72.21,0.9083,True
2026-06-28T18:19:44.166075+00:00,SOL/USDT,LONG,20.0,0.0,86.0,12.0,OK,2026-06-28T17:00:00+00:00,2026-06-28T18:00:00+00:00,71.56,OK,2026-06-28T19:00:00+00:00,2026-06-28T20:00:00+00:00,70.71,-1.1878,False,OK,2026-06-28T20:00:00+00:00,2026-06-28T21:00:00+00:00,70.9,-0.9223,False,OK,2026-06-28T22:00:00+00:00,2026-06-28T23:00:00+00:00,70.25,-1.8306,False,OK,2026-06-29T02:00:00+00:00,2026-06-29T03:00:00+00:00,72.21,0.9083,True
2026-06-28T18:24:49.582797+00:00,SOL/USDT,LONG,20.0,0.0,86.0,12.0,OK,2026-06-28T17:00:00+00:00,2026-06-28T18:00:00+00:00,71.56,OK,2026-06-28T19:00:00+00:00,2026-06-28T20:00:00+00:00,70.71,-1.1878,False,OK,2026-06-28T20:00:00+00:00,2026-06-28T21:00:00+00:00,70.9,-0.9223,False,OK,2026-06-28T22:00:00+00:00,2026-06-28T23:00:00+00:00,70.25,-1.8306,False,OK,2026-06-29T02:00:00+00:00,2026-06-29T03:00:00+00:00,72.21,0.9083,True
2026-06-28T18:29:55.356652+00:00,SOL/USDT,LONG,20.0,0.0,86.0,12.0,OK,2026-06-28T17:00:00+00:00,2026-06-28T18:00:00+00:00,71.56,OK,2026-06-28T19:00:00+00:00,2026-06-28T20:00:00+00:00,70.71,-1.1878,False,OK,2026-06-28T20:00:00+00:00,2026-06-28T21:00:00+00:00,70.9,-0.9223,False,OK,2026-06-28T22:00:00+00:00,2026-06-28T23:00:00+00:00,70.25,-1.8306,False,OK,2026-06-29T02:00:00+00:00,2026-06-29T03:00:00+00:00,72.21,0.9083,True
2026-06-28T18:40:05.015312+00:00,BTC/USDT,SHORT,26.0,0.0,92.0,14.0,OK,2026-06-28T17:00:00+00:00,2026-06-28T18:00:00+00:00,59580.5,OK,2026-06-28T19:00:00+00:00,2026-06-28T20:00:00+00:00,59480.2,0.1683,True,OK,2026-06-28T20:00:00+00:00,2026-06-28T21:00:00+00:00,59653.6,-0.1227,False,OK,2026-06-28T22:00:00+00:00,2026-06-28T23:00:00+00:00,59067.2,0.8615,True,OK,2026-06-29T02:00:00+00:00,2026-06-29T03:00:00+00:00,59752.1,-0.288,False
2026-06-28T18:50:19.043059+00:00,BTC/USDT,SHORT,26.0,0.0,92.0,14.0,OK,2026-06-28T17:00:00+00:00,2026-06-28T18:00:00+00:00,59580.5,OK,2026-06-28T19:00:00+00:00,2026-06-28T20:00:00+00:00,59480.2,0.1683,True,OK,2026-06-28T20:00:00+00:00,2026-06-28T21:00:00+00:00,59653.6,-0.1227,False,OK,2026-06-28T22:00:00+00:00,2026-06-28T23:00:00+00:00,59067.2,0.8615,True,OK,2026-06-29T02:00:00+00:00,2026-06-29T03:00:00+00:00,59752.1,-0.288,False
