timestamp,symbol,direction,decision,score,confidence,sl_quality,filter_name,reason
2026-07-12T04:19:04.934839+00:00,AVAX/USDT,SHORT,WATCH,24,95,D,SHORT_SL_QUALITY_D,Dry-run only: AVAX/USDT SHORT prospective SL=6.582823 is inside recent 20-bar high/resistance=6.790000. Future filter would block this candidate.
2026-07-12T09:07:00.445887+00:00,XRP/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: XRP/USDT SHORT prospective SL=1.099138 is inside recent 20-bar high/resistance=1.119500. Future filter would block this candidate.
2026-07-12T09:07:04.742970+00:00,DOGE/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: DOGE/USDT SHORT prospective SL=0.073508 is inside recent 20-bar high/resistance=0.075590. Future filter would block this candidate.
2026-07-12T10:50:28.330395+00:00,XRP/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: XRP/USDT SHORT prospective SL=1.099129 is inside recent 20-bar high/resistance=1.119500. Future filter would block this candidate.
2026-07-12T10:50:33.029562+00:00,DOGE/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: DOGE/USDT SHORT prospective SL=0.073402 is inside recent 20-bar high/resistance=0.075590. Future filter would block this candidate.
2026-07-12T12:08:44.689963+00:00,XRP/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: XRP/USDT SHORT prospective SL=1.101265 is inside recent 20-bar high/resistance=1.119500. Future filter would block this candidate.
2026-07-12T12:08:49.693972+00:00,DOGE/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: DOGE/USDT SHORT prospective SL=0.073586 is inside recent 20-bar high/resistance=0.075550. Future filter would block this candidate.
2026-07-12T12:14:15.992290+00:00,XRP/USDT,SHORT,WATCH,24,100,D,SHORT_SL_QUALITY_D,Dry-run only: XRP/USDT SHORT prospective SL=1.104165 is inside recent 20-bar high/resistance=1.119500. Future filter would block this candidate.
2026-07-12T12:14:19.080639+00:00,ADA/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: ADA/USDT SHORT prospective SL=0.166610 is inside recent 20-bar high/resistance=0.173300. Future filter would block this candidate.
2026-07-12T12:14:21.174212+00:00,AVAX/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: AVAX/USDT SHORT prospective SL=6.500173 is inside recent 20-bar high/resistance=6.784000. Future filter would block this candidate.
2026-07-12T12:14:22.193512+00:00,DOGE/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: DOGE/USDT SHORT prospective SL=0.073837 is inside recent 20-bar high/resistance=0.075550. Future filter would block this candidate.
2026-07-12T12:20:07.900994+00:00,XRP/USDT,SHORT,WATCH,24,100,D,SHORT_SL_QUALITY_D,Dry-run only: XRP/USDT SHORT prospective SL=1.103900 is inside recent 20-bar high/resistance=1.119500. Future filter would block this candidate.
2026-07-12T12:20:12.822804+00:00,AVAX/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: AVAX/USDT SHORT prospective SL=6.500602 is inside recent 20-bar high/resistance=6.784000. Future filter would block this candidate.
2026-07-12T12:20:14.557558+00:00,DOGE/USDT,SHORT,WATCH,24,100,D,SHORT_SL_QUALITY_D,Dry-run only: DOGE/USDT SHORT prospective SL=0.073912 is inside recent 20-bar high/resistance=0.075550. Future filter would block this candidate.
2026-07-12T12:23:33.024802+00:00,XRP/USDT,SHORT,WATCH,24,100,D,SHORT_SL_QUALITY_D,Dry-run only: XRP/USDT SHORT prospective SL=1.103500 is inside recent 20-bar high/resistance=1.119500. Future filter would block this candidate.
2026-07-12T12:23:37.355185+00:00,AVAX/USDT,SHORT,WATCH,24,98,D,SHORT_SL_QUALITY_D,Dry-run only: AVAX/USDT SHORT prospective SL=6.499602 is inside recent 20-bar high/resistance=6.784000. Future filter would block this candidate.
2026-07-12T12:23:38.357896+00:00,DOGE/USDT,SHORT,WATCH,24,100,D,SHORT_SL_QUALITY_D,Dry-run only: DOGE/USDT SHORT prospective SL=0.073863 is inside recent 20-bar high/resistance=0.075550. Future filter would block this candidate.
