timestamp,symbol,candidate_direction,primary_blocker,potential_score,actual_score,lost_score,entry,atr,reason
2026-07-02T10:56:29.904682+00:00,SOL/USDT,LONG,Structure,28.25,0.0,7.25,,,Momentum blocked near-actionable setup.
2026-07-02T10:58:04.005258+00:00,SOL/USDT,LONG,Structure,28.25,0.0,7.25,,,Momentum blocked near-actionable setup.
2026-07-02T11:01:39.236261+00:00,SOL/USDT,LONG,Structure,28.25,0.0,7.25,,,Momentum blocked near-actionable setup.
2026-07-02T11:03:07.844941+00:00,SOL/USDT,LONG,Structure,28.25,0.0,7.25,,,Momentum blocked near-actionable setup.
2026-07-02T11:04:21.202994+00:00,SOL/USDT,LONG,Structure,28.25,0.0,7.25,,,Momentum blocked near-actionable setup.
2026-07-02T11:09:25.983950+00:00,SOL/USDT,LONG,Structure,28.25,0.0,7.25,,,Momentum blocked near-actionable setup.
2026-07-02T11:14:29.731730+00:00,SOL/USDT,LONG,Structure,28.45,0.0,7.45,,,Momentum blocked near-actionable setup.
2026-07-02T11:19:33.585729+00:00,SOL/USDT,LONG,Structure,28.45,0.0,7.45,,,Momentum blocked near-actionable setup.
2026-07-02T11:24:37.447506+00:00,SOL/USDT,LONG,Structure,28.45,0.0,7.45,,,Momentum blocked near-actionable setup.
2026-07-02T11:29:42.110645+00:00,SOL/USDT,LONG,Structure,28.45,0.0,7.45,,,Momentum blocked near-actionable setup.
2026-07-02T11:34:46.028179+00:00,SOL/USDT,LONG,Structure,28.45,0.0,7.45,,,Momentum blocked near-actionable setup.
2026-07-02T11:39:51.130768+00:00,SOL/USDT,LONG,Structure,28.45,0.0,7.45,,,Momentum blocked near-actionable setup.
2026-07-02T11:43:47.448720+00:00,SOL/USDT,LONG,Structure,28.45,0.0,7.45,,,Momentum blocked near-actionable setup.
2026-07-02T11:45:38.028109+00:00,SOL/USDT,LONG,Structure,28.45,0.0,7.45,,,Momentum blocked near-actionable setup.
2026-07-02T11:50:42.074732+00:00,SOL/USDT,LONG,Structure,28.45,0.0,7.45,,,Momentum blocked near-actionable setup.
2026-07-02T11:55:46.006502+00:00,SOL/USDT,LONG,Structure,28.45,0.0,7.45,,,Momentum blocked near-actionable setup.
2026-07-02T12:00:51.352656+00:00,SOL/USDT,LONG,Structure,28.45,0.0,7.45,,,Momentum blocked near-actionable setup.
2026-07-02T12:05:55.560518+00:00,SOL/USDT,LONG,Structure,28.45,0.0,7.45,,,Momentum blocked near-actionable setup.
2026-07-02T12:11:00.136233+00:00,SOL/USDT,LONG,Structure,28.45,0.0,7.45,,,Momentum blocked near-actionable setup.
2026-07-02T12:16:04.916594+00:00,SOL/USDT,LONG,Structure,28.45,0.0,7.45,,,Momentum blocked near-actionable setup.
2026-07-02T12:21:09.749948+00:00,SOL/USDT,LONG,Structure,28.25,0.0,7.25,,,Momentum blocked near-actionable setup.
2026-07-02T12:24:30.361625+00:00,SOL/USDT,LONG,Structure,28.25,0.0,7.25,,,Momentum blocked near-actionable setup.
2026-07-02T12:29:34.235734+00:00,SOL/USDT,LONG,Structure,28.45,0.0,7.45,,,Momentum blocked near-actionable setup.
